local_time,tick_ts,tick_ms,tick_dt_s,task_id,real_command_state,snap_node,snap_dist,prev_snap_node,last_live_edge,x,y,prev_x,prev_y,movement_dx,movement_dy,movement_step_m,movement_heading_deg,plc_heading_deg,heading_movement_diff_deg,reverse_motion_xy,signed_speed_est_xy,op_live_min_m,op_route_min_m,op_motion_min_m,op_risk_edge,signed_speed,abs_speed,reverse_motion_flag,heading,going_to_id,target_reached,battery,power,current_mA,cell_voltage_mV,momentary_energy_Ws,cumulative_energy_Wh,position_confidence,nav_state,current_segment,front_scanner_safety_clear,rear_scanner_safety_clear,front_scanner_warning_clear,rear_scanner_warning_clear,scanner_violation_flag,actual_speed_l,actual_speed_r,wheel_diff_live,encoder_freq_l,encoder_freq_r,brake_block,brake_release,emergency_hold,emergency_reason,block_guard_active,block_guard_reason,predicted_conflict_count,tms_runtime_conflict_count,tms_runtime_action,proactive_replan,reserved_blocks,manual_blocks,effective_blocks,routes,active_real_path,active_command_points,active_cmd_index,last_sent_node,command_strategy,series_active,series_status,series_destinations,series_index,series_current_goal,series_loop,series_completed_count,series_run_id,series_leg_start_node,series_leg_goal_node,series_leg_route,series_leg_pred_time_s,series_leg_pred_energy_j,series_leg_distance_m,cost_source,trajectory_source,research_log_rate_hz,control_poll_s,planner,astar_w,alpha_time,alpha_energy,op_radius_m,sim_radius_m,operator_inside_radius,brake_event_label,conflict_label
2026-05-19 16:35:10,1779201310.776202,1779201310776,0.0,,IDLE,5,0.013731966362007337,,,-4.535177230834961,1.4527186155319214,,,0.0,0.0,0.0,,356.8985228538513,,False,0.0,inf,inf,inf,,0.0,0.0,False,-3.1014771461486816,5,1,81,237,,48903,2366,153965.765625,100,2,260,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,no_real_goal,,[],[],[],{},[],[],0,,final_goal_guarded,False,IDLE,[],0,,False,0,,,,[],,,,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.7,3.0,False,False,False
2026-05-19 16:35:12,1779201312.49138,1779201312491,1.7151780128479004,,IDLE,5,0.013731966362007337,5,,-4.535177230834961,1.4527186155319214,-4.535177230834961,1.4527186155319214,0.0,0.0,0.0,,356.8985228538513,,False,0.0,inf,inf,inf,,0.0,0.0,False,-3.1014771461486816,5,1,81,237,,48903,2369,154070.984375,100,2,260,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,no_real_goal,,[],[],[],{},[],[],0,,final_goal_guarded,False,IDLE,[],0,,False,0,,,,[],,,,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.7,3.0,False,False,False
2026-05-19 16:35:14,1779201314.097017,1779201314097,1.6056370735168457,,IDLE,5,0.013731966362007337,5,,-4.535177230834961,1.4527186155319214,-4.535177230834961,1.4527186155319214,0.0,0.0,0.0,,356.8985228538513,,False,0.0,inf,inf,inf,,0.0,0.0,False,-3.1014771461486816,5,1,81,237,,48903,2367,154176.375,100,2,260,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,no_real_goal,,[],[],[],{},[],[],0,,final_goal_guarded,False,IDLE,[],0,,False,0,,,,[],,,,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.7,3.0,False,False,False
2026-05-19 16:35:15,1779201315.8169432,1779201315816,1.719926118850708,,IDLE,5,0.011366222682597737,5,,-4.535177230834961,1.4501186609268188,-4.535177230834961,1.4527186155319214,0.0,-0.002599954605102539,0.002599954605102539,,356.8985228538513,,False,0.0,inf,inf,inf,,0.0,0.0,False,-3.1014771461486816,5,1,81,237,,48903,2366,154282.34375,100,2,260,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,no_real_goal,,[],[],[],{},[],[],0,,final_goal_guarded,False,IDLE,[],0,,False,0,,,,[],,,,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.7,3.0,False,False,False
2026-05-19 16:35:17,1779201317.4784472,1779201317478,1.6615040302276611,,IDLE,5,0.011366222682597737,5,,-4.535177230834961,1.4501186609268188,-4.535177230834961,1.4501186609268188,0.0,0.0,0.0,,356.8985228538513,,False,0.0,inf,inf,inf,,0.0,0.0,False,-3.1014771461486816,5,1,81,237,,48903,2366,154387.546875,100,2,260,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,no_real_goal,,[],[],[],{},[],[],0,,final_goal_guarded,False,IDLE,[],0,,False,0,,,,[],,,,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.7,3.0,False,False,False
2026-05-19 16:35:19,1779201319.322334,1779201319322,1.8438868522644043,,IDLE,5,0.013731966362007337,5,,-4.535177230834961,1.4527186155319214,-4.535177230834961,1.4501186609268188,0.0,0.002599954605102539,0.002599954605102539,,356.8985228538513,,False,0.0,inf,inf,inf,,0.0,0.0,False,-3.1014771461486816,5,1,81,237,,48903,2366,154527.65625,100,2,260,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,no_real_goal,,[],[],[],{},[],[],0,,final_goal_guarded,False,IDLE,[],0,,False,0,,,,[],,,,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.7,3.0,False,False,False
2026-05-19 16:35:21,1779201321.016196,1779201321016,1.693861961364746,,IDLE,5,0.013731966362007337,5,,-4.535177230834961,1.4527186155319214,-4.535177230834961,1.4527186155319214,0.0,0.0,0.0,,356.8985228538513,,False,0.0,inf,inf,inf,,0.0,0.0,False,-3.1014771461486816,5,1,81,237,,48903,2372,154632.875,100,2,260,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,no_real_goal,,[],[],[],{},[],[],0,,final_goal_guarded,False,IDLE,[],0,,False,0,,,,[],,,,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.7,3.0,False,False,False
2026-05-19 16:35:22,1779201322.849421,1779201322849,1.8332250118255615,,IDLE,5,0.013731966362007337,5,,-4.535177230834961,1.4527186155319214,-4.535177230834961,1.4527186155319214,0.0,0.0,0.0,,356.8985228538513,,False,0.0,inf,inf,inf,,0.0,0.0,False,-3.1014771461486816,5,1,81,237,,48903,2366,154773.9375,100,2,260,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,no_real_goal,,[],[],[],{},[],[],0,,final_goal_guarded,False,IDLE,[],0,,False,0,,,,[],,,,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.7,3.0,False,False,False
2026-05-19 16:35:24,1779201324.4065971,1779201324406,1.557176113128662,,IDLE,5,0.013731966362007337,5,,-4.535177230834961,1.4527186155319214,-4.535177230834961,1.4527186155319214,0.0,0.0,0.0,,356.8985228538513,,False,0.0,inf,inf,inf,,0.0,0.0,False,-3.1014771461486816,5,1,81,237,,48903,2372,154844.53125,100,2,260,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,no_real_goal,,[],[],[],{},[],[],0,,final_goal_guarded,False,IDLE,[],0,,False,0,,,,[],,,,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.7,3.0,False,False,False
2026-05-19 16:35:26,1779201326.100168,1779201326100,1.693570852279663,,IDLE,5,0.013731966362007337,5,,-4.535177230834961,1.4527186155319214,-4.535177230834961,1.4527186155319214,0.0,0.0,0.0,,356.8985228538513,,False,0.0,inf,inf,inf,,0.0,0.0,False,-3.1014771461486816,5,1,81,238,,48903,2366,154949.125,100,2,260,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,no_real_goal,,[],[],[],{},[],[],0,,final_goal_guarded,False,IDLE,[],0,,False,0,,,,[],,,,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.7,3.0,False,False,False
