local_time,run_id,index,leg_start,leg_goal,agv_id,priority,idx,u,v,edge,physical,enter_s,exit_s,duration_s,pred_energy_j,edge_distance,cost_source,trajectory_source
2026-05-19 15:36:36,SER_20260519_153636,0,6,5,REAL,1,0,6,33,6->33,6-33,0.0,6.668078899383545,6.668078899383545,1956.2244873046875,1.3053491579878107,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt
2026-05-19 15:36:36,SER_20260519_153636,0,6,5,REAL,1,1,33,34,33->34,33-34,6.668078899383545,12.368685722351074,5.700606822967529,1618.7340087890625,0.5456189146281497,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt
2026-05-19 15:36:36,SER_20260519_153636,0,6,5,REAL,1,2,34,28,34->28,28-34,12.368685722351074,15.955610990524292,3.5869252681732178,1000.61767578125,0.6100819617067859,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt
2026-05-19 15:36:36,SER_20260519_153636,0,6,5,REAL,1,3,28,29,28->29,28-29,15.955610990524292,22.558603048324585,6.602992057800293,1919.3033447265625,0.5819143089945068,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt
2026-05-19 15:36:36,SER_20260519_153636,0,6,5,REAL,1,4,29,5,29->5,5-29,22.558603048324585,30.176035165786743,7.617432117462158,2142.264892578125,1.2717328465068,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt
2026-05-19 15:36:59,SER_20260519_153636,1,5,4,REAL,1,0,5,29,5->29,5-29,0.0,7.864201068878174,7.864201068878174,2185.21484375,1.274154514319335,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt
2026-05-19 15:36:59,SER_20260519_153636,1,5,4,REAL,1,1,29,26,29->26,26-29,7.864201068878174,15.206846237182617,7.342645168304443,2133.223876953125,0.6646414038909502,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt
2026-05-19 15:36:59,SER_20260519_153636,1,5,4,REAL,1,2,26,25,26->25,25-26,15.206846237182617,29.070907592773438,13.86406135559082,3972.968017578125,6.36154069388855,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt
2026-05-19 15:36:59,SER_20260519_153636,1,5,4,REAL,1,3,25,23,25->23,23-25,29.070907592773438,41.127135276794434,12.056227684020996,3449.790283203125,0.9280086206496132,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt
2026-05-19 15:36:59,SER_20260519_153636,1,5,4,REAL,1,4,23,20,23->20,20-23,41.127135276794434,52.73726940155029,11.61013412475586,3322.623291015625,3.1761535260785037,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt
