local_time,action,sim,real_start,real_goal,real_route,sim_route,conflict_count,first_conflict,horizon_s,hold_s
2026-05-19 15:37:49,sim_hold,SIM1,20,4,20->22->19->17->18->4,19->22->20->23->25->26->29->5,2,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 9.05349063873291, ""a_exit_s"": 26.510497093200684, ""b_enter_s"": 0.0, ""b_exit_s"": 14.138858795166016, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 15:37:52,sim_hold,SIM1,20,4,20->22->19->17->18->4,19->22->20->23->25->26->29->5,2,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 9.05349063873291, ""a_exit_s"": 26.510497093200684, ""b_enter_s"": 0.0, ""b_exit_s"": 14.138858795166016, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 15:37:54,sim_hold,SIM1,20,4,20->22->19->17->18->4,19->22->20->23->25->26->29->5,2,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 9.05349063873291, ""a_exit_s"": 26.510497093200684, ""b_enter_s"": 0.0, ""b_exit_s"": 14.138858795166016, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 15:37:57,sim_hold,SIM1,20,4,20->22->19->17->18->4,19->22->20->23->25->26->29->5,2,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 9.05349063873291, ""a_exit_s"": 26.510497093200684, ""b_enter_s"": 0.0, ""b_exit_s"": 14.138858795166016, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 15:38:00,sim_hold,SIM1,22,4,22->19->17->18->4,19->22->20->23->25->26->29->5,3,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 0.0, ""b_exit_s"": 14.138858795166016, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 15:38:02,sim_hold,SIM1,22,4,22->19->17->18->4,19->22->20->23->25->26->29->5,3,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 0.0, ""b_exit_s"": 14.138858795166016, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 15:38:04,sim_hold,SIM1,22,4,22->19->17->18->4,19->22->20->23->25->26->29->5,3,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 0.0, ""b_exit_s"": 14.138858795166016, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 15:38:06,sim_hold,SIM1,22,4,22->19->17->18->4,19->22->20->23->25->26->29->5,3,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 0.0, ""b_exit_s"": 14.138858795166016, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 15:38:07,sim_hold,SIM1,22,4,22->19->17->18->4,19->22->20->23->25->26->29->5,3,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 0.0, ""b_exit_s"": 14.138858795166016, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
2026-05-19 15:38:09,sim_hold,SIM1,22,4,22->19->17->18->4,19->22->20->23->25->26->29->5,3,"{""type"": ""edge_time_overlap"", ""agv_a"": ""REAL"", ""agv_b"": ""SIM1"", ""edge_a"": ""22->19"", ""edge_b"": ""19->22"", ""u"": 22, ""v"": 19, ""physical_edge"": ""19-22"", ""direction"": ""opposite"", ""a_enter_s"": 0.0, ""a_exit_s"": 17.457006454467773, ""b_enter_s"": 0.0, ""b_exit_s"": 14.138858795166016, ""priority_a"": 1, ""priority_b"": 3, ""severity"": 1.0}",10.0,0.35
