sec,real_x,real_y,real_speed,real_node,real_edge,real_status,sim1_x,sim1_y,sim1_speed,sim1_node,sim1_edge,sim1_status,planned_real_x,planned_real_y,planned_real_u,planned_real_v,planned_real_tau,planned_real_available,real_sim_distance_m,real_edge_tuple,sim1_edge_tuple,real_edge_undir,sim1_edge_undir,same_physical_edge,opposite_edge_flag,close_distance_flag,very_close_flag,planned_to_sim_distance_m,planned_same_sim_edge,distance_delta_1s,distance_delta_3s,closing_speed_est,planned_distance_delta_1s,tms_action,tms_conflict_count,tms_horizon_s,tms_hold_s,tms_first_severity,dynamic_decision_action,safe_node_action,operator_event,hard_stop_event,hard_stop_operator,hard_stop_scanner,urgent_control_event,virtual_scanner_event,state_label,risk_binary,run_id
0,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
1,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
2,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
3,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
4,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
5,-4.535177230834961,1.4501186609268188,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.257304513299918,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0025965378784427173,0.0025965378784427173,-0.0025965378784427173,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
6,-4.535177230834961,1.4501186609268188,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.257304513299918,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0025965378784427173,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
7,-4.535177230834961,1.4501186609268188,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.257304513299918,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0025965378784427173,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
8,-4.535177230834961,1.4514186382293701,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.256006244251132,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,-0.0012982690487852722,-0.0012982690487852722,0.0012982690487852722,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
9,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,-0.0012982688296574452,-0.0025965378784427173,0.0012982688296574452,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
10,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,-0.0025965378784427173,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
11,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,-0.0012982688296574452,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
12,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
13,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
14,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
15,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
16,-4.535177230834961,1.4527186155319214,0.0,5.0,,IDLE,-3.497055395571491,21.680805480699163,0.299,,1->7,moving,,,5.0,29.0,,0,20.254707975421475,None,"(1, 7)",None,"(1, 7)",0,0,0,0,,0,0.0,0.0,-0.0,0.0,clear,0.0,0.0,0.0,0.0,none,none,0,0,0,0,0,0,normal,0,dataset1
