n,non_risk_support,risk_support,accuracy,balanced_accuracy,macro_f1,risk_precision,risk_recall,risk_f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,representation,n_features,stratum,train_runs,test_run
1344,1057,287,0.8869047619047619,0.8367215081800771,0.8333284381394348,0.7288135593220338,0.7491289198606271,0.738831615120275,0.9277473224793068,0.7480899533337081,0.09165710671710273,977,80,72,215,full_corrected_21,21,all_samples,dataset2+dataset3,dataset1
383,304,79,0.8877284595300261,0.8402731512325117,0.8324431014660847,0.7142857142857143,0.759493670886076,0.7361963190184049,0.9342521652231845,0.7591271613454347,0.08596430706143854,280,24,19,60,full_corrected_21,21,planned_available,dataset2+dataset3,dataset1
961,753,208,0.886576482830385,0.8354115588926345,0.8336675892447405,0.7345971563981043,0.7451923076923077,0.7398568019093079,0.9254999233833895,0.7439824296712938,0.09392593321878784,697,56,53,155,full_corrected_21,21,planned_unavailable,dataset2+dataset3,dataset1
1344,1057,287,0.8735119047619048,0.8320142141818769,0.8189098448749774,0.6833855799373041,0.759581881533101,0.7194719471947195,0.9274605335592483,0.7212257678902282,0.09372796991421166,956,101,69,218,full_minus_planned,13,all_samples,dataset2+dataset3,dataset1
383,304,79,0.8851174934725848,0.8245752831445703,0.8245752831445703,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.9360842771485677,0.7771264878790212,0.08513693329671095,282,22,22,57,full_minus_planned,13,planned_available,dataset2+dataset3,dataset1
961,753,208,0.8688865764828304,0.8345623914598018,0.8166341587516961,0.6708333333333333,0.7740384615384616,0.71875,0.9246762948207171,0.7026273493409576,0.09715186900318437,674,79,47,161,full_minus_planned,13,planned_unavailable,dataset2+dataset3,dataset1
846,557,289,0.8640661938534279,0.8801196473942836,0.8566031951443475,0.739010989010989,0.9307958477508651,0.8238897396630934,0.9368620824610339,0.8734678378859497,0.10324006975955535,462,95,20,269,full_corrected_21,21,all_samples,dataset1+dataset3,dataset2
202,149,53,0.8910891089108911,0.9140179815119666,0.8720046082949309,0.7183098591549296,0.9622641509433962,0.8225806451612904,0.951373939470685,0.8534642065425952,0.08605743377346194,129,20,2,51,full_corrected_21,21,planned_available,dataset1+dataset3,dataset2
644,408,236,0.8555900621118012,0.8699526420737786,0.8508334765423613,0.7440273037542662,0.923728813559322,0.8241965973534972,0.9304845879029578,0.8755535853027004,0.1086296543390443,333,75,18,218,full_corrected_21,21,planned_unavailable,dataset1+dataset3,dataset2
846,557,289,0.8605200945626478,0.8674373963335467,0.8509851922617626,0.749271137026239,0.889273356401384,0.8132911392405063,0.9436240860268492,0.8945842696949531,0.10008970032418014,471,86,32,257,full_minus_planned,13,all_samples,dataset1+dataset3,dataset2
202,149,53,0.8960396039603961,0.8930606559452957,0.8723634722431173,0.7580645161290323,0.8867924528301887,0.8173913043478261,0.961884259845511,0.8974888145274573,0.07565842288165701,134,15,6,47,full_minus_planned,13,planned_available,dataset1+dataset3,dataset2
644,408,236,0.8493788819875776,0.8579054503157195,0.8432842373565943,0.7473309608540926,0.8898305084745762,0.8123791102514507,0.9368976404120972,0.8939281170240906,0.1077529270996299,337,71,26,210,full_minus_planned,13,planned_unavailable,dataset1+dataset3,dataset2
1089,792,297,0.8760330578512396,0.8348063973063973,0.8408544486385783,0.7892857142857143,0.7441077441077442,0.7660311958405546,0.9338396592184471,0.817623301569578,0.09199059024902462,733,59,76,221,full_corrected_21,21,all_samples,dataset1+dataset2,dataset3
326,239,87,0.852760736196319,0.7862742269032847,0.801219512195122,0.7671232876712328,0.6436781609195402,0.7,0.905400856057327,0.7405888790843358,0.10912283706222982,222,17,31,56,full_corrected_21,21,planned_available,dataset1+dataset2,dataset3
763,553,210,0.8859764089121888,0.854882459312839,0.856458926636869,0.7971014492753623,0.7857142857142857,0.7913669064748201,0.9436364419185396,0.8369338886171532,0.08467065255426064,511,42,45,165,full_corrected_21,21,planned_unavailable,dataset1+dataset2,dataset3
1089,792,297,0.8760330578512396,0.8390151515151515,0.8422425032594525,0.78125,0.7575757575757576,0.7692307692307693,0.9350618984457368,0.828594751064212,0.09215680039803363,729,63,72,225,full_minus_planned,13,all_samples,dataset1+dataset2,dataset3
326,239,87,0.8650306748466258,0.8056076564228346,0.819299571680524,0.7866666666666666,0.6781609195402298,0.7283950617283951,0.9138171500024045,0.7814264009473592,0.10520702209314325,223,16,28,59,full_minus_planned,13,planned_available,dataset1+dataset2,dataset3
763,553,210,0.8807339449541285,0.8527426160337552,0.851183854906777,0.7793427230046949,0.7904761904761904,0.7848699763593381,0.9438043571859124,0.8494333135420353,0.08658095207220697,506,47,44,166,full_minus_planned,13,planned_unavailable,dataset1+dataset2,dataset3
