run_id,state_label,n_valid_planned_rows,mean_deviation_m,median_deviation_m,p90_deviation_m,p95_deviation_m,max_deviation_m,rows_above_0_25m,share_above_0_25m,rows_above_0_5m,share_above_0_5m,rows_above_1_0m,share_above_1_0m
dataset1,conflict_risk,8,1.709038311035342,0.9323660301859721,4.423088235472307,5.045328509818478,5.66756878416465,6,0.75,4,0.5,4,0.5
dataset1,fallback_hold,20,1.701965371298328,1.5036167769944542,3.349968863258847,3.798371064582856,3.959936563429483,17,0.85,15,0.75,13,0.65
dataset1,normal,296,1.2320853692943752,0.7479649657083024,3.1504943546643713,4.37144664806059,6.767576145424948,234,0.7905405405405406,182,0.6148648648648649,122,0.41216216216216217
dataset1,operator_stop,29,2.5799475244514047,2.271918113089914,4.803467766310779,5.448343791415852,5.768894820547002,27,0.9310344827586207,27,0.9310344827586207,24,0.8275862068965517
dataset1,preentry_block,9,2.1128210279747135,1.911751788324047,4.457810013850116,4.9694462516022355,5.481082489354356,9,1.0,8,0.8888888888888888,5,0.5555555555555556
dataset1,resume,8,2.2538052388103496,2.3431647510283033,4.252545551456738,4.303488239960762,4.354430928464787,7,0.875,5,0.625,5,0.625
dataset1,safe_node_hold,13,1.5926136359044365,0.4044801734418472,4.033641676652519,4.357571649922476,4.707939416118635,7,0.5384615384615384,6,0.46153846153846156,6,0.46153846153846156
dataset2,conflict_risk,2,2.2465176028469402,2.2465176028469402,3.9263781040623638,4.136360666714292,4.346343229366219,1,0.5,1,0.5,1,0.5
dataset2,deadlock,22,3.509836839907013,1.71179442059296,8.560342468736279,8.583233733255092,8.679916661731056,22,1.0,22,1.0,20,0.9090909090909091
dataset2,fallback_hold,9,2.2686386313752562,1.9579992764198633,4.139062459337942,4.418678169927473,4.698293880517005,8,0.8888888888888888,7,0.7777777777777778,7,0.7777777777777778
dataset2,normal,149,1.4501062874281905,0.7605298229976228,4.1650120648873665,4.6099805175232635,4.986789522437487,121,0.8120805369127517,93,0.6241610738255033,65,0.436241610738255
dataset2,operator_stop,10,2.0242120669798327,1.5226758305161994,4.155113536666936,4.171405509200545,4.187697481734154,9,0.9,8,0.8,8,0.8
dataset2,safe_node_hold,10,3.0974766285576623,3.677376822086959,4.789413480291786,5.011340835062301,5.233268189832817,9,0.9,9,0.9,8,0.8
dataset3,conflict_risk,6,1.999279230526995,1.8250757057028832,3.731471357374619,3.907877444443547,4.084283531512475,5,0.8333333333333334,5,0.8333333333333334,3,0.5
dataset3,deadlock,13,2.1913974121989606,1.334040295431776,4.476210739647616,4.832773566485628,5.318813610450408,12,0.9230769230769231,12,0.9230769230769231,11,0.8461538461538461
dataset3,fallback_hold,28,2.2998323272740913,2.081735461738808,4.5534325525402,4.684893413890574,6.329032242825798,26,0.9285714285714286,23,0.8214285714285714,20,0.7142857142857143
dataset3,normal,238,1.1745808213131939,0.7721815628650162,2.6724353773599767,3.8193407275132936,7.4280446926114525,194,0.8151260504201681,153,0.6428571428571429,100,0.42016806722689076
dataset3,operator_stop,23,2.28336526222692,2.013855006318583,3.579351832114642,4.153708129369876,4.332654721378397,23,1.0,22,0.9565217391304348,22,0.9565217391304348
dataset3,resume,1,0.8713402228979831,0.8713402228979831,0.8713402228979831,0.8713402228979831,0.8713402228979831,1,1.0,1,1.0,0,0.0
dataset3,safe_node_hold,17,0.9136352718209393,0.32586201329744974,2.538234940686512,3.1894990300651167,3.4021538587251925,14,0.8235294117647058,6,0.35294117647058826,5,0.29411764705882354
combined,conflict_risk,16,1.8850635673211615,1.1479546339055169,4.215313380439348,4.676649618065827,5.66756878416465,12,0.75,10,0.625,8,0.5
combined,deadlock,35,3.020130766758308,1.6546482995075122,8.057942510775286,8.56913578870445,8.679916661731056,34,0.9714285714285714,34,0.9714285714285714,31,0.8857142857142857
combined,fallback_hold,57,2.0851291275792705,1.9311266797554465,3.97566377967496,4.6396548141325455,6.329032242825798,51,0.8947368421052632,45,0.7894736842105263,40,0.7017543859649122
combined,normal,683,1.2596095777605794,0.7605694234021265,3.166376545458361,4.481682109066511,7.4280446926114525,549,0.8038067349926794,428,0.6266471449487555,287,0.42020497803806733
combined,operator_stop,62,2.3802903211307784,1.9783996109602973,4.314814304882417,4.700411589397844,5.768894820547002,59,0.9516129032258065,57,0.9193548387096774,54,0.8709677419354839
combined,preentry_block,9,2.1128210279747135,1.911751788324047,4.457810013850116,4.9694462516022355,5.481082489354356,9,1.0,8,0.8888888888888888,5,0.5555555555555556
combined,resume,9,2.1001980148200867,1.402222075503496,4.237990497598444,4.296210713031615,4.354430928464787,8,0.8888888888888888,6,0.6666666666666666,5,0.5555555555555556
combined,safe_node_hold,40,1.680263579332257,0.7175521255299346,4.329635454751412,4.709547259829843,5.233268189832817,30,0.75,21,0.525,19,0.475
