setting,task,prediction_horizon_s,model,n_train,n_test,accuracy,balanced_accuracy,macro_f1,risk_f1,non_risk_precision,non_risk_recall,risk_precision,risk_recall,non_risk_support,risk_support,roc_auc,pr_auc
event_free_future_horizon,future_binary_risk,0,RandomForest,2190,1089,0.8760330578512396,0.8179713804713804,0.8348118226711687,0.7522935779816514,0.8906064209274673,0.9457070707070707,0.8266129032258065,0.6902356902356902,792,297,0.9432349590177873,0.8813400349397433
event_free_future_horizon,future_binary_risk,0,ExtraTrees,2190,1089,0.8797061524334252,0.8383838383838385,0.8452260706826873,0.7721739130434783,0.9075215782983971,0.9292929292929293,0.7985611510791367,0.7474747474747475,792,297,0.9390920994456348,0.874172996188899
event_free_future_horizon,future_binary_risk,0,HistGradientBoosting,2190,1089,0.8760330578512396,0.8106060606060606,0.8318977493748263,0.7457627118644068,0.8842105263157894,0.9545454545454546,0.8461538461538461,0.6666666666666666,792,297,0.9412241097847159,0.8770903601720118
event_free_future_horizon,future_binary_risk,0,MLP,2190,1089,0.837465564738292,0.7893518518518519,0.7927130774235525,0.6963979416809606,0.8829389788293898,0.8952020202020202,0.7097902097902098,0.6835016835016835,792,297,0.9211623813896541,0.8359028233312742
event_free_future_horizon,future_binary_risk,1,RandomForest,2188,1088,0.8704044117647058,0.797322146879669,0.8216150784375971,0.7283236994219653,0.8752886836027713,0.9582806573957017,0.8513513513513513,0.6363636363636364,791,297,0.9397323423872096,0.8625741442135799
event_free_future_horizon,future_binary_risk,1,ExtraTrees,2188,1088,0.8704044117647058,0.8278124694053898,0.8337262348760002,0.755632582322357,0.9022277227722773,0.9216182048040455,0.7785714285714286,0.734006734006734,791,297,0.938048840703708,0.8690110591350021
event_free_future_horizon,future_binary_risk,1,HistGradientBoosting,2188,1088,0.8685661764705882,0.7865954104892159,0.8151152855728747,0.7157057654075547,0.8673469387755102,0.9671302149178256,0.8737864077669902,0.6060606060606061,791,297,0.9353565150025327,0.8623938598699097
event_free_future_horizon,future_binary_risk,1,MLP,2188,1088,0.8492647058823529,0.7985544445721438,0.805521162129641,0.7132867132867133,0.8856088560885609,0.9102402022756005,0.7418181818181818,0.6868686868686869,791,297,0.9248936903804161,0.8278991342898141
event_free_future_horizon,future_binary_risk,3,RandomForest,2184,1086,0.856353591160221,0.781464838499059,0.8033019853709509,0.7011494252873564,0.867595818815331,0.9467680608365019,0.8133333333333334,0.6161616161616161,789,297,0.9221087085472385,0.8364270507426944
event_free_future_horizon,future_binary_risk,3,ExtraTrees,2184,1086,0.8646408839779005,0.818661904213235,0.8257615197980412,0.743455497382199,0.8962962962962963,0.9201520912547528,0.7717391304347826,0.7171717171717171,789,297,0.9237687393580929,0.8318303973489212
event_free_future_horizon,future_binary_risk,3,HistGradientBoosting,2184,1086,0.860036832412523,0.7766511758907195,0.8036428000456777,0.6984126984126984,0.8623435722411832,0.9607097591888466,0.8502415458937198,0.5925925925925926,789,297,0.9227808289912219,0.83875730400185
event_free_future_horizon,future_binary_risk,3,MLP,2184,1086,0.8324125230202578,0.7733865908770852,0.7820604424685085,0.6773049645390071,0.8705738705738706,0.9036755386565273,0.7153558052434457,0.6430976430976431,789,297,0.8907942970046899,0.7403557633087343
event_free_future_horizon,future_binary_risk,5,RandomForest,2180,1084,0.8523985239852399,0.7778077257111564,0.7986664437881912,0.6946564885496184,0.8658109684947491,0.9428208386277002,0.801762114537445,0.6127946127946128,787,297,0.9052896606899149,0.8064617574783763
event_free_future_horizon,future_binary_risk,5,ExtraTrees,2180,1084,0.8708487084870848,0.8334894904145222,0.8362982874747047,0.7610921501706485,0.9069182389937107,0.9161372299872935,0.7716262975778547,0.7508417508417509,787,297,0.9135274815071512,0.8031712324625965
event_free_future_horizon,future_binary_risk,5,HistGradientBoosting,2180,1084,0.8542435424354243,0.7916565057606989,0.8066060532151778,0.7106227106227107,0.8766467065868263,0.9301143583227446,0.7791164658634538,0.6531986531986532,787,297,0.904470370798198,0.8095035762977
event_free_future_horizon,future_binary_risk,5,MLP,2180,1084,0.8293357933579336,0.7776472903537707,0.782029083802611,0.6804835924006909,0.8753117206982544,0.8919949174078781,0.6985815602836879,0.6632996632996633,787,297,0.8874963099867802,0.7606265085191861
