run_id,state_label,count
dataset1,conflict_risk,34
dataset1,fallback_hold,73
dataset1,normal,1013
dataset1,operator_stop,91
dataset1,preentry_block,30
dataset1,resume,44
dataset1,safe_node_hold,59
dataset2,conflict_risk,28
dataset2,deadlock,84
dataset2,fallback_hold,102
dataset2,normal,554
dataset2,operator_stop,46
dataset2,resume,3
dataset2,safe_node_hold,29
dataset3,conflict_risk,29
dataset3,deadlock,72
dataset3,fallback_hold,95
dataset3,normal,784
dataset3,operator_stop,66
dataset3,resume,8
dataset3,safe_node_hold,35
