setting,task,model,accuracy,macro_f1,balanced_accuracy,risk_f1,non_risk_precision,non_risk_recall,risk_precision,risk_recall,non_risk_support,risk_support,roc_auc,pr_auc
event_free_early,multiclass,RandomForest_v2,0.7621671258034894,0.4057568694044377,,,,,,,,,,
event_free_early,multiclass,ExtraTrees_v2,0.743801652892562,0.3836758084133249,,,,,,,,,,
event_free_early,multiclass,HistGradientBoosting_v2,0.7943067033976124,0.45183898263238403,,,,,,,,,,
event_free_early,multiclass,MLP_v2,0.743801652892562,0.4074046988951851,,,,,,,,,,
event_free_early,multiclass,GRU_dynamic_sequence_v4,0.6817761332099908,0.38670565341716917,,,,,,,,,,
event_free_early,binary_risk,RF_binary_risk,0.8760330578512396,0.8348118226711687,0.8179713804713804,0.7522935779816514,0.8906064209274673,0.9457070707070707,0.8266129032258065,0.6902356902356902,792.0,297.0,0.9432349590177873,0.8813400349397433
event_free_early,binary_risk,ExtraTrees_binary_risk,0.8797061524334252,0.8452260706826873,0.8383838383838385,0.7721739130434783,0.9075215782983971,0.9292929292929293,0.7985611510791367,0.7474747474747475,792.0,297.0,0.9390920994456348,0.874172996188899
event_free_early,binary_risk,MLP_binary_risk,0.837465564738292,0.7927130774235525,0.7893518518518519,0.6963979416809606,0.8829389788293898,0.8952020202020202,0.7097902097902098,0.6835016835016835,792.0,297.0,0.9211623813896541,0.8359028233312742
event_free_early,multiclass,TopologyGCN_baseline,0.7089072543617998,0.3837954708584677,,,,,,,,,,
event_free_early,multiclass,TopologyGGNN_baseline,0.711662075298439,0.40216505832027266,,,,,,,,,,
event_free_early,multiclass,TopologyGAT_baseline,0.7052341597796143,0.396035887262911,,,,,,,,,,
event_free_early,multiclass,TopologyGraphSAGE_baseline,0.7052341597796143,0.39967751435073234,,,,,,,,,,
event_free_early,binary_risk,TopologyGCN_baseline,0.859504132231405,0.8263221260339086,,,,,,,,,,
event_free_early,binary_risk,TopologyGGNN_baseline,0.8631772268135904,0.830862724046094,,,,,,,,,,
event_free_early,binary_risk,TopologyGAT_baseline,0.8438934802571166,0.8119209200260078,,,,,,,,,,
event_free_early,binary_risk,TopologyGraphSAGE_baseline,0.8622589531680441,0.8325027685492802,,,,,,,,,,
